institution_id,criterion,value,category_type,category,criterion_cat,n_true,p_true,p_rank
1,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",24,0.6486486486486487,3
2,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",14,0.3783783783783784,36
3,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,41
4,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",9,0.24324324324324326,53
5,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",16,0.43243243243243246,29
6,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",23,0.6216216216216216,4
7,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,42
8,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",15,0.40540540540540543,32
9,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,14
10,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",10,0.2702702702702703,51
11,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,43
12,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",20,0.5405405405405406,11
13,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",22,0.5945945945945946,5
14,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",14,0.3783783783783784,37
15,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,15
16,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",16,0.43243243243243246,30
17,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",20,0.5405405405405406,12
18,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",18,0.4864864864864865,20
19,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",17,0.4594594594594595,25
20,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",20,0.5405405405405406,13
21,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",14,0.3783783783783784,38
22,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",21,0.5675675675675675,6
23,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",15,0.40540540540540543,33
24,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",19,0.5135135135135135,16
25,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",18,0.4864864864864865,21
26,george_floyd,0,sub,names_victims,"    ""George Floyd""    ",10,0.2702702702702703,52
27,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",26,0.7027027027027027,1
28,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",17,0.4594594594594595,26
29,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",11,0.2972972972972973,50
30,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",13,0.35135135135135137,44
31,george_floyd,1,sub,names_victims,"    ""George Floyd""    ",21,0.5675675675675675,7
